league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
BEL-Belgian Pro League,2023-24,Standard Liège,Laurent Henkinet,BEL,GK,30,1992,1,1,90,1.0,6,6.0,9,3,44.4,0,0,1,0,0.0,1,1,0,0,0.0
BEL-Belgian Pro League,2023-24,Union SG,Anthony Moris,LUX,GK,33,1990,29,29,2588,28.8,30,1.04,87,57,69.0,20,7,2,8,27.6,3,3,0,0,0.0
BEL-Belgian Pro League,2023-24,Union SG,Heinz Lindner,AUT,GK,33,1990,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Union SG,Joachim Imbrechts,SWE,GK,21,2001,1,0,21,0.2,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,
BEL-Belgian Pro League,2023-24,Westerlo,Nick Gillekens,BEL,GK,28,1995,4,4,360,4.0,10,2.5,23,14,56.5,0,0,4,0,0.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Westerlo,Sinan Bolat,TUR,GK,34,1988,26,26,2340,26.0,44,1.69,132,89,68.9,7,9,10,5,19.2,3,3,0,0,0.0
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32,32,2880,32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21,21,1890,21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17,17,1530,17.0,34,2.0,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0
ENG-Premier League,2023-24,Burnley,Arijanet Muric,KVX,GK,24,1998,10,10,900,10.0,16,1.6,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0
ENG-Premier League,2023-24,Burnley,James Trafford,ENG,GK,20,2002,28,28,2520,28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0
ENG-Premier League,2023-24,Chelsea,Robert Sánchez,ESP,GK,25,1997,16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
ENG-Premier League,2023-24,Chelsea,Đorđe Petrović,SRB,GK,23,1999,23,22,1987,22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0
ENG-Premier League,2023-24,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18,18,1620,18.0,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0
