league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
NED-Eredivisie,2024-25,Feyenoord,Jan Plug,NED,DF,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Feyenoord,Jeyland Mitchell,CRC,DF,19,2004,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
NED-Eredivisie,2024-25,Feyenoord,Jordan Lotomba,SUI,DF,25,1998,5.4,11,10,3,6,2,3,4,75.0,1,5,2,3,8,19,7,1
NED-Eredivisie,2024-25,Feyenoord,Julián Carranza,ARG,FW,24,2000,9.1,9,5,2,5,2,2,8,25.0,6,5,1,4,2,11,7,0
NED-Eredivisie,2024-25,Feyenoord,Justin Bijlow,NED,GK,26,1998,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
NED-Eredivisie,2024-25,Feyenoord,Luka Ivanušec,CRO,"FW,MF",25,1998,5.4,4,3,1,3,0,3,6,50.0,3,7,2,5,1,5,1,0
NED-Eredivisie,2024-25,Feyenoord,Lutsharel Geertruida,NED,DF,24,2000,3.0,4,3,2,1,1,2,3,66.7,1,1,0,1,3,7,2,0
NED-Eredivisie,2024-25,Feyenoord,Marcos López,PER,MF,24,1999,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0
NED-Eredivisie,2024-25,Feyenoord,Marcus Pedersen,NOR,MF,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Feyenoord,Neraysho Kasanwirjo,NED,DF,22,2002,1.3,1,1,1,0,0,0,0,,0,4,2,2,2,3,4,0
NED-Eredivisie,2024-25,Feyenoord,Oussama Targhalline,MAR,MF,22,2002,3.1,10,7,2,6,2,5,6,83.3,1,2,1,1,3,13,5,0
NED-Eredivisie,2024-25,Feyenoord,Plamen Andreev,BUL,GK,19,2004,1.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
NED-Eredivisie,2024-25,Feyenoord,Quilindschy Hartman,NED,DF,22,2001,7.2,11,6,4,6,1,4,9,44.4,5,8,4,4,6,17,20,0
NED-Eredivisie,2024-25,Feyenoord,Quinten Timber,NED,MF,23,2001,15.5,36,24,9,21,6,11,18,61.1,7,16,0,16,10,46,10,3
NED-Eredivisie,2024-25,Feyenoord,Ramiz Zerrouki,ALG,MF,26,1998,12.1,25,15,7,15,3,10,22,45.5,12,13,1,12,17,42,14,1
NED-Eredivisie,2024-25,Feyenoord,Santiago Giménez,MEX,FW,23,2001,8.5,5,2,0,2,3,0,1,0.0,1,5,0,5,0,5,5,0
NED-Eredivisie,2024-25,Feyenoord,Shiloh ’t Zand,NED,MF,21,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
NED-Eredivisie,2024-25,Feyenoord,Stephano Carrillo,MEX,FW,18,2006,0.6,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
NED-Eredivisie,2024-25,Feyenoord,Thomas Beelen,NED,DF,23,2001,18.9,20,15,9,8,3,8,12,66.7,4,14,12,2,31,51,69,2
NED-Eredivisie,2024-25,Feyenoord,Timon Wellenreuther,GER,GK,28,1995,29.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,24,3
NED-Eredivisie,2024-25,Feyenoord,Zepiqueno Redmond,NED,FW,18,2006,1.8,2,2,0,1,1,0,1,0.0,1,2,0,2,0,2,1,0
NED-Eredivisie,2024-25,Fortuna Sittard,Abdurrahman Burak Sayın,,FW,,,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Fortuna Sittard,Alen Halilović,CRO,"MF,FW",28,1996,19.7,24,13,8,11,5,11,30,36.7,19,19,0,19,7,31,8,0
NED-Eredivisie,2024-25,Fortuna Sittard,Alessio da Cruz,CPV,FW,27,1997,13.2,11,6,3,3,5,4,11,36.4,7,5,0,5,2,13,9,1
NED-Eredivisie,2024-25,Fortuna Sittard,Ante Erceg,CRO,"FW,MF",34,1989,3.2,4,2,2,1,1,1,2,50.0,1,2,0,2,0,4,1,0
NED-Eredivisie,2024-25,Fortuna Sittard,Bojan Radulovic,SRB,FW,24,1999,6.0,5,4,0,3,2,3,4,75.0,1,0,0,0,0,5,2,0
NED-Eredivisie,2024-25,Fortuna Sittard,Daley Sinkgraven,NED,"MF,FW",29,1995,0.9,5,2,2,1,2,2,2,100.0,0,2,1,1,1,6,6,0
NED-Eredivisie,2024-25,Fortuna Sittard,Dario Grujcic,AUT,"DF,MF",25,1999,3.1,11,8,7,3,1,10,11,90.9,1,8,4,4,4,15,24,0
NED-Eredivisie,2024-25,Fortuna Sittard,Edouard Michut,FRA,"MF,FW",21,2003,11.4,34,24,12,17,5,17,33,51.5,16,17,4,13,16,50,13,0
NED-Eredivisie,2024-25,Fortuna Sittard,Ezequiel Bullaude,ARG,"MF,FW",23,2000,22.9,33,21,11,12,10,17,48,35.4,31,18,2,16,14,47,18,0
NED-Eredivisie,2024-25,Fortuna Sittard,Hasip Korkmazyürek,GER,MF,21,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
NED-Eredivisie,2024-25,Fortuna Sittard,Ivo Pinto,POR,DF,34,1990,27.9,50,35,30,18,2,24,39,61.5,15,20,6,14,23,73,90,0
NED-Eredivisie,2024-25,Fortuna Sittard,Jasper Dahlhaus,NED,"DF,FW",22,2001,19.6,41,25,23,13,5,20,41,48.8,21,33,8,25,35,76,58,0
NED-Eredivisie,2024-25,Fortuna Sittard,Josip Mitrović,CRO,"DF,MF",24,2000,10.3,24,14,9,11,4,13,28,46.4,15,9,0,9,13,37,25,0
NED-Eredivisie,2024-25,Fortuna Sittard,Kaj Sierhuis,NED,FW,26,1998,5.9,1,1,0,0,1,0,5,0.0,5,3,1,2,1,2,4,0
NED-Eredivisie,2024-25,Fortuna Sittard,Kristoffer Peterson,SWE,"FW,MF",29,1994,20.2,25,16,12,8,5,13,34,38.2,21,20,2,18,8,33,28,1
NED-Eredivisie,2024-25,Fortuna Sittard,Loreintz Rosier,FRA,"MF,DF",25,1998,23.9,41,26,23,16,2,22,41,53.7,19,39,16,23,41,82,100,1
NED-Eredivisie,2024-25,Fortuna Sittard,Luka Tunjić,GER,"FW,MF",18,2005,5.3,7,3,2,3,2,5,12,41.7,7,5,1,4,4,11,4,0
NED-Eredivisie,2024-25,Fortuna Sittard,Luuk Koopmans,NED,GK,30,1993,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
NED-Eredivisie,2024-25,Fortuna Sittard,Makan Aiko,FRA,FW,23,2001,13.1,9,3,2,1,6,2,4,50.0,2,12,2,10,9,18,6,0
NED-Eredivisie,2024-25,Fortuna Sittard,Mattijs Branderhorst,NED,GK,30,1993,28.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,20,4
NED-Eredivisie,2024-25,Fortuna Sittard,Milan Robberechts,BEL,MF,20,2004,0.1,2,1,0,0,2,0,0,,0,0,0,0,0,2,0,0
NED-Eredivisie,2024-25,Fortuna Sittard,Mitchell Dijks,NED,DF,31,1993,18.8,36,25,22,12,2,23,45,51.1,22,13,2,11,16,52,46,1
NED-Eredivisie,2024-25,Fortuna Sittard,Owen Johnson,NED,"FW,MF",18,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Fortuna Sittard,Rodrigo Guth,BRA,DF,23,2000,30.5,52,29,34,16,2,27,36,75.0,9,44,22,22,26,78,221,2
NED-Eredivisie,2024-25,Fortuna Sittard,Ryan Fosso,SUI,MF,22,2002,28.3,37,20,12,21,4,15,35,42.9,20,26,9,17,42,79,47,2
NED-Eredivisie,2024-25,Fortuna Sittard,Samuel Bastien,COD,"MF,FW",27,1996,14.4,16,10,4,7,5,7,16,43.8,9,9,1,8,3,19,15,0
NED-Eredivisie,2024-25,Fortuna Sittard,Shawn Adewoye,BEL,DF,24,2000,19.4,30,17,25,3,2,23,31,74.2,8,30,19,11,29,59,115,0
NED-Eredivisie,2024-25,Fortuna Sittard,Syb Van Ottele,NED,"DF,MF",22,2002,20.8,58,38,44,14,0,38,60,63.3,22,27,8,19,32,90,106,0
NED-Eredivisie,2024-25,Fortuna Sittard,Tristan Schenkhuizen,NED,"MF,FW",20,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
NED-Eredivisie,2024-25,Fortuna Sittard,Úmaro Embaló,POR,FW,23,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Go Ahead Eag,Aske Adelgaard,DEN,DF,20,2003,13.6,21,13,13,5,3,15,25,60.0,10,12,4,8,10,31,43,1
NED-Eredivisie,2024-25,Go Ahead Eag,Bobby Adekanye,NED,"FW,MF",25,1999,8.6,9,4,2,6,1,3,13,23.1,10,5,0,5,0,9,6,0
NED-Eredivisie,2024-25,Go Ahead Eag,Calvin Twigt,NED,MF,21,2003,5.0,7,5,3,2,2,5,6,83.3,1,3,2,1,3,10,15,0
NED-Eredivisie,2024-25,Go Ahead Eag,Dean James,IDN,DF,24,2000,18.9,22,13,11,6,5,10,23,43.5,13,17,6,11,10,32,66,0
NED-Eredivisie,2024-25,Go Ahead Eag,Enric Llansana,NED,MF,23,2001,30.2,112,71,56,50,6,40,76,52.6,36,51,9,42,38,150,105,1
NED-Eredivisie,2024-25,Go Ahead Eag,Evert Linthorst,NED,MF,24,2000,27.9,26,12,14,8,4,12,24,50.0,12,35,16,19,20,46,62,3
NED-Eredivisie,2024-25,Go Ahead Eag,Finn Stokkers,NED,FW,28,1996,4.9,2,1,0,2,0,0,3,0.0,3,3,0,3,6,8,5,0
NED-Eredivisie,2024-25,Go Ahead Eag,Gerrit Nauber,GER,DF,32,1992,29.7,27,16,18,8,1,8,11,72.7,3,49,43,6,15,42,166,0
NED-Eredivisie,2024-25,Go Ahead Eag,Jakob Breum,DEN,"MF,FW",20,2003,22.9,22,12,8,9,5,8,26,30.8,18,23,7,16,8,30,21,2
NED-Eredivisie,2024-25,Go Ahead Eag,Jamal Amofa,NED,DF,25,1998,1.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,4,0
NED-Eredivisie,2024-25,Go Ahead Eag,Jari De Busser,BEL,GK,24,1999,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1
NED-Eredivisie,2024-25,Go Ahead Eag,Joris Kramer,NED,DF,27,1996,33.8,30,15,17,10,3,13,22,59.1,9,40,30,10,28,58,246,2
NED-Eredivisie,2024-25,Go Ahead Eag,Julius Dirksen,NED,"DF,MF",21,2003,0.8,2,2,1,1,0,2,3,66.7,1,2,1,1,0,2,5,0
NED-Eredivisie,2024-25,Go Ahead Eag,Luca Everink,NED,DF,23,2001,1.2,2,1,1,1,0,0,0,,0,1,0,1,0,2,11,0
NED-Eredivisie,2024-25,Go Ahead Eag,Luca Plogmann,GER,GK,24,2000,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,4
NED-Eredivisie,2024-25,Go Ahead Eag,Mathis Suray,BEL,"FW,MF",23,2001,16.2,33,18,15,12,6,14,34,41.2,20,21,3,18,4,37,22,0
NED-Eredivisie,2024-25,Go Ahead Eag,Mats Deijl,NED,DF,27,1997,34.0,50,34,24,19,7,30,46,65.2,16,31,17,14,15,65,114,1
NED-Eredivisie,2024-25,Go Ahead Eag,Milan Smit,NED,"FW,MF",21,2003,9.3,5,4,2,2,1,4,5,80.0,1,9,2,7,3,8,10,0
NED-Eredivisie,2024-25,Go Ahead Eag,Ofosu Boakye,,FW,,,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
NED-Eredivisie,2024-25,Go Ahead Eag,Oliver Antman,FIN,"FW,MF",22,2001,26.8,28,18,16,9,3,15,24,62.5,9,22,2,20,11,39,37,0
NED-Eredivisie,2024-25,Go Ahead Eag,Oliver Edvardsen,NOR,"FW,MF",25,1999,9.9,11,6,6,4,1,6,13,46.2,7,9,3,6,5,16,16,0
NED-Eredivisie,2024-25,Go Ahead Eag,Oscar Pettersson,SWE,"FW,MF",24,2000,2.1,0,0,0,0,0,0,1,0.0,1,3,2,1,1,1,5,0
NED-Eredivisie,2024-25,Go Ahead Eag,Oskar Siira Sivertsen,NOR,FW,20,2004,1.6,4,3,1,1,2,1,4,25.0,3,0,0,0,2,6,4,0
NED-Eredivisie,2024-25,Go Ahead Eag,Pim Saathof,NED,DF,20,2003,0.9,2,0,2,0,0,0,1,0.0,1,1,1,0,0,2,4,1
NED-Eredivisie,2024-25,Go Ahead Eag,Robbin Weijenberg,NED,"MF,DF",19,2004,3.4,17,11,8,6,3,11,20,55.0,9,0,0,0,3,20,14,0
NED-Eredivisie,2024-25,Go Ahead Eag,Søren Tengstedt,DEN,"MF,FW",24,2000,4.7,8,5,4,2,2,4,7,57.1,3,2,0,2,0,8,4,0
NED-Eredivisie,2024-25,Go Ahead Eag,Thibo Baeten,BEL,"MF,FW",22,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Go Ahead Eag,Victor Edvardsen,SWE,"FW,MF",28,1996,30.4,10,8,1,6,3,4,12,33.3,8,10,1,9,4,14,16,0
NED-Eredivisie,2024-25,Groningen,Alex Mortensen,SWE,"FW,MF",22,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Groningen,Brynjolfur Darri Willumsson,ISL,FW,23,2000,10.7,8,5,2,3,3,2,7,28.6,5,8,0,8,1,9,2,0
NED-Eredivisie,2024-25,Groningen,Dave Kwakman,NED,"FW,MF",19,2004,11.4,29,20,9,10,10,19,30,63.3,11,17,2,15,5,34,7,0
NED-Eredivisie,2024-25,Groningen,David van der Werff,NED,MF,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Groningen,Etienne Vaessen,SUR,GK,29,1995,32.0,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,13,4
NED-Eredivisie,2024-25,Groningen,Finn Stam,NED,DF,21,2003,9.2,20,11,13,5,2,12,17,70.6,5,15,10,5,13,33,64,2
NED-Eredivisie,2024-25,Groningen,Fofin Turay,NED,MF,20,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NED-Eredivisie,2024-25,Groningen,Hidde Jurjus,NED,GK,30,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
NED-Eredivisie,2024-25,Groningen,Hjalmar Ekdal,SWE,DF,25,1998,13.8,25,16,13,12,0,16,20,80.0,4,12,5,7,18,43,94,0
NED-Eredivisie,2024-25,Groningen,Joey Pelupessy,IDN,"MF,DF",31,1993,3.3,7,6,3,4,0,1,2,50.0,1,5,1,4,1,8,11,0
NED-Eredivisie,2024-25,Groningen,Johan Hove,NOR,MF,23,2000,19.4,26,14,9,15,2,15,21,71.4,6,20,5,15,18,44,37,0
NED-Eredivisie,2024-25,Groningen,Jorg Schreuders,NED,"MF,FW",19,2004,21.6,35,22,8,22,5,13,27,48.1,14,22,0,22,9,44,11,1
NED-Eredivisie,2024-25,Groningen,Laros Duarte,CPV,MF,27,1997,0.2,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
NED-Eredivisie,2024-25,Groningen,Leandro Bacuna,CUW,"DF,MF",32,1991,25.9,33,21,16,13,4,20,37,54.1,17,30,8,22,22,55,65,1
NED-Eredivisie,2024-25,Groningen,Luciano Valente,NED,"MF,FW",20,2003,28.7,18,12,4,9,5,8,20,40.0,12,29,3,26,9,27,16,0
NED-Eredivisie,2024-25,Groningen,Marco Rente,GER,DF,27,1997,28.8,49,39,34,10,5,19,48,39.6,29,29,14,15,54,103,136,4
NED-Eredivisie,2024-25,Groningen,Marvin Peersman,BEL,DF,33,1991,20.1,36,27,21,12,3,19,30,63.3,11,18,13,5,22,58,94,0
NED-Eredivisie,2024-25,Groningen,Mats Seuntjens,NED,"FW,MF",32,1992,7.4,13,10,5,6,2,9,12,75.0,3,2,0,2,1,14,5,0
NED-Eredivisie,2024-25,Groningen,Maxim Mariani,NED,DF,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
NED-Eredivisie,2024-25,Groningen,Noam Emeran,FRA,"DF,MF",21,2002,1.0,2,2,0,2,0,1,3,33.3,2,2,0,2,5,7,1,0
NED-Eredivisie,2024-25,Groningen,Romano Postema,NED,"FW,MF",22,2002,13.4,9,6,3,3,3,6,14,42.9,8,5,1,4,5,14,12,0
NED-Eredivisie,2024-25,Groningen,Rui Mendes,GER,"MF,FW",24,1999,5.7,5,3,2,2,1,2,5,40.0,3,5,0,5,0,5,1,0
NED-Eredivisie,2024-25,Groningen,Stije Resink,NED,MF,21,2003,23.6,89,61,34,46,9,46,72,63.9,26,42,7,35,24,113,48,4
NED-Eredivisie,2024-25,Groningen,Sven Bouland,NED,DF,,,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
NED-Eredivisie,2024-25,Groningen,Thijmen Blokzijl,NED,DF,19,2005,24.7,32,19,21,9,2,20,29,69.0,9,29,17,12,32,64,122,3
NED-Eredivisie,2024-25,Groningen,Thijs Oosting,NED,"FW,MF",24,2000,8.7,10,4,2,6,2,4,14,28.6,10,7,1,6,2,12,10,0
NED-Eredivisie,2024-25,Groningen,Thom van Bergen,NED,FW,20,2004,27.4,38,23,14,18,6,11,22,50.0,11,22,2,20,12,50,32,0
NED-Eredivisie,2024-25,Groningen,Tika de Jonge,NED,MF,21,2003,14.1,42,21,17,21,4,21,31,67.7,10,19,5,14,19,61,46,0
NED-Eredivisie,2024-25,Groningen,Wouter Prins,NED,DF,20,2004,18.5,72,40,47,18,7,48,63,76.2,15,19,8,11,21,93,78,0
NED-Eredivisie,2024-25,Heerenveen,Alireza Jahanbakhsh,IRN,"FW,MF",30,1993,16.1,31,17,12,15,4,17,32,53.1,15,9,0,9,13,44,26,1
NED-Eredivisie,2024-25,Heerenveen,Amara Conde,GER,MF,27,1997,8.2,28,21,13,11,4,15,26,57.7,11,8,3,5,4,32,9,0
NED-Eredivisie,2024-25,Heerenveen,Andries Noppert,NED,GK,30,1994,15.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0
NED-Eredivisie,2024-25,Heerenveen,Ché Nunnely,NED,"FW,MF",25,1999,2.9,10,6,5,4,1,6,11,54.5,5,3,1,2,2,12,2,0
NED-Eredivisie,2024-25,Heerenveen,Daniel Karlsbakk,NOR,FW,21,2003,3.0,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,7,0
NED-Eredivisie,2024-25,Heerenveen,Danilo Al Saed,IRQ,"MF,FW",25,1999,2.2,8,4,6,2,0,3,7,42.9,4,2,0,2,0,8,1,0
NED-Eredivisie,2024-25,Heerenveen,Denzel Hall,NED,DF,23,2001,6.3,18,7,9,5,4,6,11,54.5,5,7,2,5,11,29,23,0
NED-Eredivisie,2024-25,Heerenveen,Dimitris Rallis,NED,FW,19,2005,9.7,3,2,1,2,0,0,4,0.0,4,13,1,12,2,5,8,0
NED-Eredivisie,2024-25,Heerenveen,Eser Gürbüz,NED,FW,17,2007,3.4,5,3,1,4,0,5,9,55.6,4,2,1,1,1,6,6,1
NED-Eredivisie,2024-25,Heerenveen,Espen van Ee,NED,MF,21,2003,24.8,72,43,28,33,11,34,58,58.6,24,40,13,27,29,101,34,4
NED-Eredivisie,2024-25,Heerenveen,Hristiyan Petrov,BUL,DF,22,2002,4.0,8,6,4,4,0,3,5,60.0,2,11,4,7,7,15,21,0
NED-Eredivisie,2024-25,Heerenveen,Hussein Ali,IRQ,DF,22,2002,2.4,9,6,6,3,0,6,6,100.0,0,2,0,2,1,10,12,0
NED-Eredivisie,2024-25,Heerenveen,Ilias Sebaoui,BEL,"FW,MF",22,2001,21.4,20,13,10,9,1,8,39,20.5,31,18,1,17,14,34,29,0
NED-Eredivisie,2024-25,Heerenveen,Ion Nicolaescu,MDA,FW,25,1998,14.1,7,3,2,2,3,2,4,50.0,2,5,1,4,0,7,7,0
NED-Eredivisie,2024-25,Heerenveen,Isaiah Ahmed,CUW,MF,18,2005,0.1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
NED-Eredivisie,2024-25,Heerenveen,Jacob Trenskow,DEN,"FW,MF",23,2000,19.4,27,16,7,11,9,16,43,37.2,27,21,0,21,16,43,18,0
NED-Eredivisie,2024-25,Heerenveen,Jordy de Wijs,NED,DF,29,1995,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,14,0
NED-Eredivisie,2024-25,Heerenveen,Kai Jansen,NED,MF,17,2007,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
NED-Eredivisie,2024-25,Heerenveen,Levi Smans,NED,"MF,FW",20,2004,25.5,22,15,8,6,8,12,28,42.9,16,22,4,18,12,34,13,1
NED-Eredivisie,2024-25,Heerenveen,Luuk Brouwers,NED,MF,26,1998,21.2,33,18,9,21,3,14,28,50.0,14,24,4,20,23,56,37,0
NED-Eredivisie,2024-25,Heerenveen,Marcus Linday,SWE,MF,21,2003,14.0,34,23,16,18,0,14,28,50.0,14,16,1,15,14,48,16,2
NED-Eredivisie,2024-25,Heerenveen,Mateja Milovanovic,SRB,DF,20,2004,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
NED-Eredivisie,2024-25,Heerenveen,Mats Köhlert,GER,DF,26,1998,27.5,64,37,36,19,9,40,72,55.6,32,34,9,25,40,104,74,1
NED-Eredivisie,2024-25,Heerenveen,Mickey van der Hart,NED,GK,30,1994,18.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,3
NED-Eredivisie,2024-25,Heerenveen,Milos Lukovic,SRB,FW,18,2005,8.0,4,3,1,1,2,2,7,28.6,5,10,0,10,0,4,3,0
NED-Eredivisie,2024-25,Heerenveen,Nikolai Hopland,NOR,DF,20,2004,27.4,39,21,18,20,1,19,31,61.3,12,22,11,11,25,64,157,4
NED-Eredivisie,2024-25,Heerenveen,Oliver Braude,NOR,DF,20,2004,29.0,99,69,60,32,7,59,89,66.3,30,43,10,33,33,132,99,1
NED-Eredivisie,2024-25,Heerenveen,Paweł Bochniewicz,POL,DF,28,1996,12.3,9,7,4,5,0,5,12,41.7,7,15,11,4,24,33,50,1
NED-Eredivisie,2024-25,Heerenveen,Sam Kersten,NED,DF,26,1998,26.4,47,31,31,16,0,26,40,65.0,14,37,21,16,31,78,155,1
NED-Eredivisie,2024-25,Heerenveen,Simon Olsson,SWE,MF,26,1997,8.7,19,9,6,10,3,4,21,19.0,17,2,0,2,5,24,2,1
NED-Eredivisie,2024-25,Heracles Almelo,Brian De Keersmaecker,BEL,MF,24,2000,30.2,70,41,30,32,8,27,57,47.4,30,51,12,39,41,111,60,1
NED-Eredivisie,2024-25,Heracles Almelo,Bryan Limbombe,BEL,"MF,FW",23,2001,4.2,2,2,2,0,0,0,2,0.0,2,2,1,1,0,2,4,0
NED-Eredivisie,2024-25,Heracles Almelo,Damon Mirani,NED,DF,28,1996,33.5,45,28,33,10,2,23,45,51.1,22,56,34,22,33,78,209,1
NED-Eredivisie,2024-25,Heracles Almelo,Daniël van Kaam,NED,MF,24,2000,12.0,22,12,12,8,2,9,14,64.3,5,8,2,6,8,30,25,0
NED-Eredivisie,2024-25,Heracles Almelo,Diego van Oorschot,NED,"MF,FW",18,2005,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
NED-Eredivisie,2024-25,Heracles Almelo,Fabian de Keijzer,NED,GK,24,2000,34.0,1,0,1,0,0,1,4,25.0,3,2,0,2,0,1,14,1
NED-Eredivisie,2024-25,Heracles Almelo,Giandro Sambo,CUW,"FW,DF",17,2006,0.2,2,2,1,0,1,0,0,,0,0,0,0,0,2,1,0
NED-Eredivisie,2024-25,Heracles Almelo,Ivan Mesík,SVK,DF,23,2001,32.3,28,16,17,11,0,10,20,50.0,10,56,45,11,36,64,258,0
NED-Eredivisie,2024-25,Heracles Almelo,Jan Žambůrek,CZE,MF,23,2001,10.4,28,13,14,12,2,9,17,52.9,8,16,3,13,15,43,30,0
NED-Eredivisie,2024-25,Heracles Almelo,Jannes Wieckhoff,GER,DF,23,2000,13.9,42,27,28,10,4,23,46,50.0,23,22,8,14,12,54,47,0
NED-Eredivisie,2024-25,Heracles Almelo,Jizz Hornkamp,NED,"FW,MF",26,1998,17.6,9,6,2,5,2,2,8,25.0,6,19,2,17,3,12,26,0
NED-Eredivisie,2024-25,Heracles Almelo,Jordy Bruijn,NED,MF,28,1996,3.4,6,4,1,5,0,0,5,0.0,5,7,1,6,1,7,4,1
NED-Eredivisie,2024-25,Heracles Almelo,Juho Talvitie,FIN,"FW,MF",19,2005,16.8,15,10,7,8,0,6,27,22.2,21,26,5,21,14,29,15,0
NED-Eredivisie,2024-25,Heracles Almelo,Justin Hoogma,NED,DF,26,1998,2.8,5,4,5,0,0,4,6,66.7,2,3,1,2,1,6,26,0
NED-Eredivisie,2024-25,Heracles Almelo,Lorenzo Milani,ITA,DF,23,2001,3.1,1,1,1,0,0,1,3,33.3,2,5,1,4,3,4,17,0
NED-Eredivisie,2024-25,Heracles Almelo,Luka Kulenović,BIH,FW,24,1999,16.2,12,8,2,8,2,3,6,50.0,3,9,2,7,4,16,10,0
NED-Eredivisie,2024-25,Heracles Almelo,Mario Engels,GER,"FW,MF",30,1993,24.1,23,17,11,6,6,6,14,42.9,8,11,0,11,9,32,14,0
NED-Eredivisie,2024-25,Heracles Almelo,Mats Rots,NED,DF,18,2006,14.6,33,22,18,10,5,21,38,55.3,17,20,7,13,14,47,43,0
NED-Eredivisie,2024-25,Heracles Almelo,Mimeirhel Benita,NED,DF,20,2003,22.6,63,37,40,19,4,36,62,58.1,26,25,10,15,41,104,88,2
NED-Eredivisie,2024-25,Heracles Almelo,Ruben Roosken,NED,DF,24,2000,13.6,36,20,22,9,5,16,27,59.3,11,15,2,13,16,52,42,0
NED-Eredivisie,2024-25,Heracles Almelo,Sem Scheperman,NED,MF,22,2002,18.2,76,42,32,36,8,39,66,59.1,27,36,9,27,29,105,63,1
NED-Eredivisie,2024-25,Heracles Almelo,Shiloh ’t Zand,NED,"FW,MF",21,2003,11.2,20,15,8,10,2,5,9,55.6,4,7,0,7,5,25,5,0
NED-Eredivisie,2024-25,Heracles Almelo,Suf Podgoreanu,ISR,"FW,MF",22,2002,26.0,39,25,20,16,3,14,30,46.7,16,24,0,24,15,54,34,0
NED-Eredivisie,2024-25,Heracles Almelo,Thomas Bruns,NED,"MF,FW",32,1992,12.8,29,20,6,17,6,14,29,48.3,15,19,2,17,3,32,19,0
NED-Eredivisie,2024-25,NAC Breda,Adam Kayed,PLE,"MF,DF",22,2002,5.2,18,10,7,8,3,7,13,53.8,6,6,0,6,3,21,12,0
NED-Eredivisie,2024-25,NAC Breda,Boy Kemper,NED,DF,25,1999,26.7,45,25,22,20,3,26,39,66.7,13,35,15,20,28,73,91,0
NED-Eredivisie,2024-25,NAC Breda,Boyd Lucassen,NED,"DF,FW",26,1998,13.6,42,26,18,20,4,21,32,65.6,11,21,4,17,16,58,59,0
NED-Eredivisie,2024-25,NAC Breda,Casper Staring,NED,"MF,FW",23,2001,7.0,20,8,11,9,0,7,17,41.2,10,10,2,8,9,29,17,0
NED-Eredivisie,2024-25,NAC Breda,Cherrion Valerius,CUW,DF,18,2005,13.3,37,31,18,14,5,17,27,63.0,10,26,5,21,23,60,40,0
