league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,Grazer AK,Thorsten Schriebl,AUT,MF,25,1998,11.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tio Cipot,SVN,"FW,MF",21,2003,16.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tobias Revelant,AUT,FW,20,2004,0.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Zeteny Jano,AUT,"MF,FW",19,2005,8.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Aaron Schwarz,AUT,MF,20,2004,2.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Benjamin Markuš,SVN,MF,23,2001,23.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Björn Hardley,NED,DF,21,2002,0.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Christoph Urdl,AUT,MF,24,1999,0.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,6.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Dominik Prokop,AUT,"MF,FW",27,1997,19.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Donis Avdijaj,KVX,"MF,FW",27,1996,24.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Elias Havel,AUT,FW,21,2003,6.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Emmanuel Ojukwu,AUT,DF,20,2004,0.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Fabian Wilfinger,AUT,DF,20,2003,19.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,13.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jed Drew,AUS,"FW,MF",20,2003,6.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jonas Karner,AUT,MF,19,2004,0.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Justin Omoregie,AUT,"MF,DF",20,2003,12.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jürgen Heil,AUT,"DF,MF",27,1997,28.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Manuel Pfeifer,AUT,"DF,MF",24,1999,22.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Marco Hoffmnann,AUT,FW,16,2007,7.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Mateo Karamatić,AUT,DF,22,2001,17.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Maximilian Fillafer,AUT,"MF,FW",19,2004,4.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Muharem Huskovic,AUT,"FW,MF",21,2003,4.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Amadin,NED,MF,23,2000,1.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Prenner,AUT,MF,19,2005,1.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Patrik Mijić,CRO,FW,25,1998,21.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Paul Komposch,AUT,DF,23,2001,29.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Hofer,AUT,DF,21,2003,4.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Tobias Kainz,AUT,MF,31,1992,22.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Youba Diarra,MLI,MF,26,1998,19.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Adil Taoui,FRA,MF,22,2001,3.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Alexis Tibidi,FRA,MF,20,2003,0.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Andrés Andrade Cedeño,PAN,DF,25,1998,5.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Armin Haider,AUT,FW,18,2005,0.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Armin Midzic,AUT,DF,18,2006,0.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Branko Jovičić,SRB,"MF,DF",31,1993,24.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Christoph Lang,AUT,"MF,FW",22,2002,7.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Emmanuel Michael,NGA,DF,18,2006,0.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Enis Safin,,MF,20,2004,1.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Filip Stojković,MNE,DF,31,1993,11.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Florian Flecker,AUT,MF,28,1995,11.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,George Bello,USA,"DF,MF",22,2002,27.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Hrvoje Smolčić,CRO,DF,23,2000,17.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ibrahim Mustapha,GHA,MF,24,2000,1.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ismaila Cheick Coulibaly,MLI,MF,23,2000,7.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ivan Ljubic,AUT,MF,28,1996,10.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Jérôme Boateng,GER,DF,35,1988,4.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,9.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Kevin Lebersorger,AUT,FW,19,2005,0.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Kryštof Daněk,CZE,"MF,FW",21,2003,9.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Lenny Pintor,FRA,MF,23,2000,2.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,2.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Maksym Talovierov,UKR,DF,24,2000,7.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Marco Sulzner,AUT,"DF,MF",21,2003,2.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Marin Ljubicic,CRO,FW,22,2002,11.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Maximilian Entrup,AUT,FW,27,1997,19.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Melayro Bogarde,NED,"DF,MF",22,2002,17.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Modou Cissé,SEN,DF,18,2005,7.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Mohamed Sanogo,MLI,MF,20,2003,0.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Moses Usor,NGA,MF,22,2002,7.3,,,,,,,,,,,,,,,,
